hash,filename,mergehordesat,mallobhc,mallob,slime,pmcompspsmpi,pmcomspscommpi,paracooba
dbbd977e78d2e6a9d2d83c5077597591,Kakuro-easy-118-ext.xml.hg_4.cnf.xz,memout,timeout,126.34,242.29,memout,memout,178.33
dc3854d1f6db34fa97596ac30204627c,ktf_TF-1.tf_3_0.02_34.cnf.xz,timeout,19.12,timeout,timeout,timeout,timeout,timeout
ddb3decfe4a53709806d60535bbb3de8,n320p5q2_n.apx_17.cnf.xz,161.09,timeout,7.21,168.97,25.79,27.54,296.96
df4aa7724f377245d82486ada37910de,SC21_Timetable_C_140_E_32_Cl_30_S_10.cnf.xz,timeout,51.78,timeout,timeout,timeout,timeout,timeout
df6aa71659ddda7143b6e2e72d7d4675,problem_12.smt2.cnf.xz,timeout,57.34,timeout,timeout,timeout,timeout,timeout
e02cc08183436cf370b565fbf365f3fe,Circuit_multiplier26.cnf.xz,719.79,96.72,50.16,286.16,63.40,136.52,memout
e0617083b92213c14131866cfee57dfb,vlsat2_11_42.cnf.xz,timeout,135.13,409.86,timeout,1668.64,timeout,memout
e353e7a4a49333e69e21ce21289f3983,quad_res_r21_m22.cnf.xz,43.75,17.86,2.06,10.53,9.54,14.72,7.89
e4058a36518bf65fac7b0b866f139235,sp4-33-one-stri-tree-noid.cnf.xz,256.89,101.69,14.91,101.47,57.92,57.78,485.25
e4d1892db27b721b88e5ee7e5987649f,quad_res_r33_m36.cnf.xz,timeout,15.14,memout,timeout,timeout,timeout,memout
e59a9e69ce2967effc10fb6905609079,51.smt2.cnf.xz,89.55,572.52,23.81,41.49,43.95,45.96,314.30
e63a6f6ad7432b630996b02f842066f7,b2005-p1-12x12c10h7-Ser5-0.cnf.xz,timeout,timeout,timeout,memout,timeout,timeout,memout
e6510ed99dc7c4549ac41772305d004b,sp5-21-15-one-nons-tree-noid.cnf.xz,62.21,2.09,6.11,31.04,6.45,2.64,31.48
e6ebcf156dfca54a7881190a14a330fa,Kakuro-easy-150-ext.xml.hg_9.cnf.xz,memout,1.49,70.91,313.00,memout,memout,191.85
e6f6a122f3988097a98995bfb7e1d1bb,mp1-klieber2017s-1200-022-eq.cnf.xz,72.16,timeout,23.14,675.34,122.79,172.86,665.38
e724ce11027976e35cfb8ca6881d741b,Sz1024_34824.smt2.cnf.xz,389.22,35.52,382.74,267.54,710.47,996.57,144.05
e7736f693835ebec4ced74ad3c146e81,WS_300_24_90_10.apx_0.cnf.xz,88.77,37.95,7.31,125.65,33.33,31.12,152.96
e8209cd050c81226a57e93a0a83220d4,string_compare_safety_cbmc_unwinding_700.cnf.xz,memout,1.28,159.50,timeout,memout,memout,memout
e823071e58960a155122139ab4d0f44a,vlsat2_51_824.cnf.xz,timeout,125.85,memout,timeout,2878.01,timeout,memout
e8408d02568ac7214d2d4cad6d59e9bf,vlsat2_144_7585.cnf.xz,timeout,17.46,263.92,timeout,2734.31,timeout,memout
e8c79a0ee6be39b6b2211c9a527c192a,randomG-n20-d05.cnf.xz,timeout,18.32,2.72,timeout,timeout,timeout,memout
e9674dde824d0e269ad80b9659b1b431,HCP-446-420.cnf.xz,762.05,23.97,113.20,timeout,timeout,timeout,memout
e9bd4a210195e83cf64cae1aaf5a36a0,size_5_5_5_i251_r12.cnf.xz,286.01,10.14,74.42,90.03,231.12,98.96,68.91
eb09e5484eaf494d6c1abe60c5b38b7e,sp5-26-19-bin-nons-tree-noid.cnf.xz,214.45,105.72,7.75,34.16,476.61,37.23,665.45
eb92c7c6b92379e55b91bc764632d65e,crafted_n10_d6_c4_num15.cnf.xz,415.72,5.93,23.95,273.38,454.31,memout,155.33
ecd91912911f079da6b66ee6afd8e716,crafted_n10_d6_c4_num21.cnf.xz,555.78,timeout,25.76,272.04,537.44,memout,215.01
eda4aa84aeeb306468396fa82a6bba5a,pb_300_05_lb_17.cnf.xz,244.87,31.56,16.30,50.79,51.55,49.74,81.19
ee3d0bbbe59d1d3d1a087df411d44626,sum_of_3_cubes_87_bits_75.cnf.xz,timeout,10.51,timeout,memout,timeout,timeout,memout
ef4508038f0220f285640f4f9f1da640,satch2ways18u.cnf.xz,timeout,6.90,memout,timeout,timeout,timeout,timeout
ef64bc4d3c2505574e067eb50b48ffd4,HCP-522-105.cnf.xz,99.42,5.89,99.27,91.23,526.69,884.71,58.85
ef673597d33e9c4952ac883ceb96cbab,k2fix_gr_rcs_w8.shuffled.cnf.xz,80.06,51.96,4.88,18.12,17.10,22.94,memout
effa19cc18a6c3faca19761028bb0a0e,SC21_Timetable_C_121_E_34_Cl_8_S_4.cnf.xz,timeout,3.42,timeout,timeout,timeout,timeout,timeout
f157df1208c06caaa5cf11371704b87b,edit_distance041_182.cnf.xz,78.06,12.31,16.30,168.06,73.42,63.14,271.10
f293dc11e842227dd1a49fe1571bcb8b,mp1-tri_ali_s11_c35_abix_UNS.cnf.xz,49.50,10.12,11.10,74.98,27.12,26.90,96.23
f4a15cbf0cc8bc993e29f82e7d8e9563,HCP-529-60.cnf.xz,187.65,34.34,88.30,89.86,347.33,303.88,67.70
f51d3940d97c1019081744d94bf08778,MVD_ADS_S4_5_5.cnf.xz,10.14,timeout,2.51,814.89,timeout,timeout,0.56
f746dae2050dd4aa48bcd53e8bd897b4,ex065_25.cnf.xz,117.78,123.09,142.46,22.49,180.79,18.91,107.15
