hash,result,filename,painlessmaple,pakis,mallobparallel,pmcomsps,pmcomspscom,abcdparascavel,pmcomspsstrsc,mergehordesatparallel,plingeling
068c64314f0f8405bc28bb4c52647145,unsat,sokoban-p20.sas.cr.27.cnf.xz,2448.49,timeout,735.17,426.60,489.74,1700.25,493.71,2355.64,565.51
070fde310eca4ddf6967896052efcb30,unsat,at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.xz,14.74,157.32,72.74,8.52,8.57,14.60,10.53,9.46,58.58
07c3cce524e2b85d8315ac4397ef08c4,unknown,puzzle47_sat.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
080896c437245ac25eb6d3ad6df12c4f,sat,bv-term-small-rw_1492.smt2.cnf.xz,1.13,1.03,1.47,1.23,1.23,memout,1.74,2.88,12.95
083030713683d8ab8e1d54372f241863,sat,Kakuro-easy-089-ext.xml.hg_4.cnf.xz,171.49,82.18,231.10,133.76,137.37,memout,175.14,438.22,461.27
09d8544494e54bc756438e69567b4ba7,sat,mp1-klieber2017s-0300-034-t12.cnf.xz,150.26,47.09,18.10,106.49,59.45,memout,32.51,48.64,62.57
0c4355730d11bb18582d00f7266fdf27,unsat,puzzle34_unsat.cnf.xz,1008.54,141.14,109.08,758.73,1539.82,1906.72,762.67,542.04,56.88
0c75119940f87f2bc1dc3f53aeedc02b,sat,20-100-lambda100-89_sat.cnf.xz,141.53,104.26,211.67,118.83,103.83,memout,77.86,320.34,334.19
0d4b99f6d05c9e993ea8655d355fa3b3,unsat,vlsat2_112_4223.cnf.xz,timeout,5181.23,timeout,1122.92,2524.11,4972.21,773.87,timeout,4522.67
0f877a1f984f35fdfdce011cb7152123,unsat,bvurem_20.smt2.cnf.xz,timeout,timeout,timeout,3229.35,timeout,timeout,3141.40,timeout,timeout
10b460a4da6a4e199e946788a374032b,sat,HCP-470-60.cnf.xz,1710.98,394.39,233.27,717.32,668.34,memout,932.47,687.31,1483.46
115fa7f61704bc12b2373aa471bc434f,sat,Circuit_multiplier24.cnf.xz,29.15,35.05,20.70,124.25,770.35,timeout,542.35,95.48,179.84
116bae11adddfa555f2e21f8ee678de5,sat,randomG-n17-d05.cnf.xz,844.24,timeout,0.67,481.22,605.21,memout,480.44,timeout,0.17
128fdc03329b57efb97c3cdf6ed7e35d,unsat,10pipe_k.cnf.xz,270.83,150.24,199.53,107.92,106.93,214.91,120.96,323.66,216.55
1335cf5a529c51c86733b20450a41ac1,unsat,p01_lb_05.cnf.xz,33.31,15.12,16.09,11.68,13.70,56.93,14.46,32.36,14.69
13538df69c3bc26707750ba55d90c9b0,unsat,blocks-blocks-37-1.130-NOTKNOWN.cnf.xz,483.43,789.78,100.52,122.16,127.83,376.03,142.37,271.36,122.07
135eb593af65aa579aede02fd289a6f9,unsat,Mycielski-10-hints-8.cnf.xz,timeout,timeout,timeout,2882.63,timeout,timeout,3111.64,timeout,timeout
139c1262e5901a684005ffad897aa7eb,sat,maximum_constrained_partition_18_bits_n200.cnf.xz,75.35,28.16,575.28,21.85,100.94,memout,45.92,106.28,898.98
140aa37221467a66d5711b760a19ee0f,unknown,ktf_TF-8.tf_4_0.02_37.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
141919813972d24c105018164e96cb1e,sat,edit_distance023_281.cnf.xz,174.40,508.24,241.66,91.55,111.58,memout,102.55,162.01,457.70
14c33d4be35ed33f2c67498f8334993f,sat,sted5_0x24204-70.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
1527378fc216e0506bf8b63d0fad56be,sat,randomG-Mix-n18-d05.cnf.xz,timeout,timeout,2052.76,3151.58,3913.73,timeout,3218.70,timeout,timeout
1575dcf4547f5854850b971013683c37,unsat,edit_distance007_85.cnf.xz,404.22,520.11,136.38,106.21,120.21,584.47,125.81,297.32,393.40
15ba9eb4b0035fb6ed11a03c7df21870,unknown,ktf_TF-6.tf_4_0.04_51.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
166e1e5a9f63fcf94ddae8533fa2a090,unsat,mp1-squ_any_s09x07_c27_abix_UNS.cnf.xz,79.07,622.08,58.76,29.14,31.13,144.86,30.85,228.66,277.29
167b736959aa8c9e5d38409755277a53,unsat,vlsat2_56_1042.cnf.xz,timeout,1630.85,timeout,999.37,3002.48,1644.53,615.24,timeout,2646.20
18d4124324b56e434118f9ef72198d84,unsat,spg_300_300.cnf.xz,59.62,39.44,283.72,94.41,99.38,1166.17,119.55,85.89,168.63
198f94ece5fdc9536a28afc3063bdcf6,sat,quad_res_r29_m32.cnf.xz,timeout,timeout,timeout,3671.83,timeout,timeout,2723.39,timeout,timeout
1a3254cb7b54789fdd4d56bfaaa38df7,unknown,satch2ways18wu.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
1a3320d3cf32f211b3e7b875745713e2,unsat,sokoban-p20.sas.cr.21.cnf.xz,349.65,276.67,47.92,52.36,44.44,220.12,45.94,270.28,29.21
1a3400dc32a3859afb20566a4ded9606,sat,ACG-15-10p1.cnf.xz,223.06,76.10,85.37,96.46,119.50,memout,102.67,305.56,75.39
1b8c45c42a818db8f62bcbfd6f52c881,sat,sp5-21-15-bin-stri-tree-noid.cnf.xz,93.17,28.05,21.50,25.29,8.26,memout,32.31,22.73,978.02
