hash,filename,cadical_hack_gb,CaDiCaL_PriPro,CaDiCaL_PriPro_no_bin,CaDiCaL_rp,CaDiCaL_sc2021,Cadical_SCAVEL01,Cadical_SCAVEL02,CaDiCaL_Stability_HC,cadical_watch_sat,CleanMaple,CleanMaple_PriPro,cms_expV_gbL,hCaD,hCaD_psids,hKis,hKis_psids,hKis_unsat,kissat_bonus,kissat_cf,kissat_crvr_gb,kissat_gb,Kissat_MAB,Kissat_sc2021_default,Kissat_sc2021_sat,Kissat_sc2021_sweep,lstech_maple,Maple_MBDR_BJL6_Tier2,Maple_MBDR_BJL7_Local,Maple_MBDR_Cent_PERM_10K,Maple_MBDR_Cent_PERM_75K,Maple_simp21,MapleSSV,optsat_m21,optsat_R21,ParaFROST,ParaFROST_NoMDM,Relaxed_LCFTP,Relaxed_LCFTP_V2,Relaxed_LCFTP_V3,Relaxed_LCMDCBDL_BLB,Relaxed_LCMDCBDL_SCAVEL01,Relaxed_LCMDCBDL_SCAVEL02,SLIME_hess_no_rnd,SLIME_hess_rnd,SLIME_no_hess_no_rnd,SLIME_no_hess_rnd
f57f9b3e3eb5fb8fea5ebde6f8ae8820,vmpc_31.cnf.xz,853.795,2701.72,2729.09,197.382,35.3697,1773.97,3841.77,timeout,timeout,1795.17,4050.24,752.734,timeout,timeout,timeout,1051.17,timeout,timeout,timeout,timeout,1300.11,timeout,1851.39,2872.43,1829.1,79.452,1431.37,1302.08,21.9726,22.2278,370.928,1706.16,373.926,457.263,timeout,100.707,1887.6,1703.57,1488.17,2096.17,273.619,timeout,382.765,783.457,861.516,91.0769
f5d4f2dd0888fe1e7d7c7e995847101a,ssAES_4-4-8_round_1-10_faultAt_8_fault_injections_2_seed_243659113.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
f65e6b35a8aeb517edca599b8ad1d443,combined-crypto1-wff-seed-21-wffvars-450-cryptocplx-40-overlap-2.cnf.xz,184.251,21.2707,21.1741,87.5489,63.366,392.414,513.956,339.59,49.5215,timeout,timeout,21.3249,31.4841,timeout,69.459,763.374,74.8325,393.234,45.7151,43.9322,4.50077,10.7651,66.7157,69.5719,129.666,36.1089,102.049,103.325,104.672,159.195,137.641,timeout,143.726,137.261,22.2423,101.538,120.786,111.887,142.81,263.341,15.338,876.599,78.2892,88.177,54.4545,98.5447
f9e596ed214345ad40ceff5443797fac,md4__zeroOut_23__freeIn_27__seed_2.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,1450.19,timeout,timeout,timeout,timeout,1119.96,timeout,timeout,timeout,timeout,timeout,2395.9,3656.68,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
fa3b1d5110d6585533a706e17ee37fd5,combined-crypto1-wff-seed-138-wffvars-500-cryptocplx-31-overlap-2.cnf.xz,691.121,timeout,timeout,778.375,1507.13,3897.79,840.708,391.797,319.928,timeout,timeout,18.5618,timeout,timeout,101.771,286.472,89.192,335.066,11.0509,101.177,420.151,28.204,1694.31,1031.43,1114.38,471.804,331.944,95.4266,4808.44,628.808,504.043,timeout,498.87,509.103,184.656,68.7556,357.616,133.922,232.313,248.487,259.529,845.479,81.6123,85.7831,74.6537,120.67
fa421852917dcf2cd5d87664dd0c9a57,010.cnf.xz,timeout,timeout,timeout,3216.34,timeout,timeout,timeout,3512.95,2515.13,timeout,539.765,3397.25,3272.08,timeout,1123.76,498.821,319.303,timeout,3077.95,2338.38,1164.96,87.7952,386.798,2242.99,2220.34,1382.45,774.206,265.233,268.915,267.694,4849.78,503.659,timeout,823.663,1386.52,3568.5,373.033,55.3632,1601.9,1550.36,123.068,717.307,925.502,3257.81,175.168,211.088
fbd5ec01130c1799011f6c7cab30fc85,sha1__zeroOut_12__freeIn_16__seed_1.cnf.xz,383.567,405.998,403.003,419.612,473.917,601.848,348.209,293.943,913.719,1504.2,1729.25,240.758,325.314,1901.64,889.821,545.167,439.802,615.048,1130.61,591.297,917.777,825.251,342.227,681.667,358.257,333.364,193.613,224.436,232.848,233.759,369.459,167.531,170.342,154.932,268.798,397.11,265.287,200.813,168.24,334.235,442.639,313.319,279.412,237.62,213.315,282.522
fc85886bdc8e424c33714a4a52971ee8,ssAES_4-4-4_round_1-10_faultAt_1_fault_injections_1_seed_1564286498.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
fca7a5a04aaed5f0eacccc4139dc894a,satcoin-genesis-SAT-8192.cnf.xz,382.086,322.656,319.31,295.327,345.174,788.73,382.615,402.083,419.489,timeout,timeout,1583.18,395.88,164.143,timeout,timeout,timeout,timeout,750.297,timeout,timeout,timeout,timeout,timeout,timeout,762.189,414.787,502.408,328.464,316.713,timeout,2829.96,1874.08,timeout,307.384,213.275,timeout,528.447,626.927,790.185,196.119,666.99,1117.56,165.527,202.311,198.971
ffc6478580fa7b48bfe3f7c7097accf0,sha1__zeroOut_13__freeIn_17__seed_2.cnf.xz,479.582,456.442,457.015,1076.6,382.329,47.4287,564.606,382.045,413.333,3178.45,2334.76,230.631,270.978,1016.18,676.51,462.612,786.786,716.296,1166.33,644.395,676.322,261.93,513.519,388.691,574.191,143.702,623.682,180.506,577.412,578.366,245.654,287.607,205.971,275.896,716.816,297.645,232.522,387.24,279.508,262.454,618.562,375.433,343.262,264.021,153.281,397.531
